Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 94.59      0.35     0.35   480000     0.00     0.00  calculate_average(unsigned char*, int, int, int, ImageData&, int, int, int&, int&, int&, int&)
  5.41      0.37     0.02                             _init
  0.00      0.37     0.00       23     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.37     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      0.37     0.00       16     0.00     0.00  std::reference_wrapper<ImageData>&& std::forward<std::reference_wrapper<ImageData> >(std::remove_reference<std::reference_wrapper<ImageData> >::type&)
  0.00      0.37     0.00       15     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.37     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::__normal_iterator(std::thread* const&)
  0.00      0.37     0.00       12     0.00     0.00  std::thread* std::__niter_base<std::thread*>(std::thread*)
  0.00      0.37     0.00       11     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.37     0.00       10     0.00     0.00  apply_filter_on_images(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int)::{lambda()#1}& std::forward<apply_filter_on_images(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int)::{lambda()#1}&>(std::remove_reference<apply_filter_on_images(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int)::{lambda()#1}&>::type&)
  0.00      0.37     0.00        9     0.00     0.00  void (&std::forward<void (&)(int, int, ImageData&)>(std::remove_reference<void (&)(int, int, ImageData&)>::type&))(int, int, ImageData&)
  0.00      0.37     0.00        8     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::size() const
  0.00      0.37     0.00        7     0.00     0.00  std::filesystem::__cxx11::path::_List::type() const
  0.00      0.37     0.00        7     0.00     0.00  std::filesystem::__cxx11::path::_M_type() const
  0.00      0.37     0.00        7     0.00     0.00  std::unique_ptr<std::filesystem::__cxx11::path::_List::_Impl, std::filesystem::__cxx11::path::_List::_Impl_deleter>::get() const
  0.00      0.37     0.00        7     0.00     0.00  std::__uniq_ptr_impl<std::filesystem::__cxx11::path::_List::_Impl, std::filesystem::__cxx11::path::_List::_Impl_deleter>::_M_ptr() const
