Linux 6.5.0-1009-apple-arm (localhost.localdomain) 	06/02/24 	_aarch64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          24.98    0.55    1.11    0.04    0.00   73.32

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00         13          0          0
loop1             0.00         0.00         0.00         0.00         15          0          0
loop10            0.00         0.00         0.00         0.00         11          0          0
loop11            0.00         0.00         0.00         0.00         18          0          0
loop12            0.55         2.18         0.00         0.00      13210          0          0
loop13            0.00         0.00         0.00         0.00         12          0          0
loop14            0.22         8.04         0.00         0.00      48741          0          0
loop15            0.00         0.04         0.00         0.00        263          0          0
loop16            0.00         0.00         0.00         0.00         10          0          0
loop17            0.00         0.00         0.00         0.00         14          0          0
loop2             0.00         0.01         0.00         0.00         40          0          0
loop3             0.11         1.77         0.00         0.00      10742          0          0
loop4             0.00         0.00         0.00         0.00         15          0          0
loop5             0.00         0.00         0.00         0.00         13          0          0
loop6             0.53        27.56         0.00         0.00     167029          0          0
loop7             0.00         0.00         0.00         0.00         12          0          0
loop8             0.03         0.42         0.00         0.00       2532          0          0
loop9             0.76        17.62         0.00         0.00     106796          0          0
nvme0n1          68.18      2526.46      1996.55         0.00   15309660   12098532          0
nvme0n2           0.01         0.12         0.00         0.00        752          0          0
nvme0n3           0.01         0.37         0.00         0.00       2224          0          0


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          94.26    2.99    2.49    0.00    0.00    0.25

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00          0          0          0
loop1             0.00         0.00         0.00         0.00          0          0          0
loop10            0.00         0.00         0.00         0.00          0          0          0
loop11            0.00         0.00         0.00         0.00          0          0          0
loop12            0.00         0.00         0.00         0.00          0          0          0
loop13            0.00         0.00         0.00         0.00          0          0          0
loop14            0.00         0.00         0.00         0.00          0          0          0
loop15            0.00         0.00         0.00         0.00          0          0          0
loop16            0.00         0.00         0.00         0.00          0          0          0
loop17            0.00         0.00         0.00         0.00          0          0          0
loop2             0.00         0.00         0.00         0.00          0          0          0
loop3             0.00         0.00         0.00         0.00          0          0          0
loop4             0.00         0.00         0.00         0.00          0          0          0
loop5             0.00         0.00         0.00         0.00          0          0          0
loop6             0.00         0.00         0.00         0.00          0          0          0
loop7             0.00         0.00         0.00         0.00          0          0          0
loop8             0.00         0.00         0.00         0.00          0          0          0
loop9             0.00         0.00         0.00         0.00          0          0          0
nvme0n1         446.00     19328.00     16296.00         0.00      19328      16296          0
nvme0n2           0.00         0.00         0.00         0.00          0          0          0
nvme0n3           0.00         0.00         0.00         0.00          0          0          0


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          93.24    3.13    3.63    0.00    0.00    0.00

