Linux 6.5.0-1009-apple-arm (localhost.localdomain) 	06/02/24 	_aarch64_	(8 CPU)

22:53:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:53:56     all   94.62    3.63    1.63    0.00    0.00    0.00    0.00    0.00    0.00    0.13
22:53:56       0   98.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:56       1   96.97    1.01    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:56       2   92.00    5.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:56       3   94.00    3.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:53:56       4   93.94    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:56       5   93.00    5.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:56       6   91.09    6.93    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:56       7   98.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:53:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:53:57     all   92.40    5.35    1.87    0.00    0.00    0.00    0.00    0.00    0.00    0.37
22:53:57       0   93.07    4.95    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
22:53:57       1   88.00   10.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:57       2   93.94    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:57       3   96.04    1.98    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:57       4   92.08    3.96    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:57       5   94.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:57       6   91.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:53:57       7   91.09    6.93    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99

22:53:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:53:58     all   92.90    2.62    4.23    0.00    0.00    0.00    0.00    0.00    0.00    0.25
22:53:58       0   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:58       1   91.09    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00    0.99
22:53:58       2   95.10    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00    0.98
22:53:58       3   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:58       4   93.00    4.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:58       5   94.00    2.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:58       6   87.00    6.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:58       7   87.13    8.91    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:53:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:53:59     all   94.26    2.62    3.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       0   94.00    2.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       1   92.08    3.96    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       2   96.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       3   96.04    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       4   95.92    3.06    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       5   86.27    6.86    6.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       6   95.96    1.01    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:53:59       7   98.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:53:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:54:00     all   92.62    6.01    0.75    0.13    0.00    0.00    0.00    0.00    0.00    0.50
22:54:00       0   89.00    8.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:00       1   86.87   11.11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    1.01
22:54:00       2   92.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:00       3   87.13    9.90    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.99
22:54:00       4   96.04    2.97    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:00       5   96.97    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
22:54:00       6   93.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:00       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:54:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:54:01     all   92.17    3.48    4.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       0   91.00    5.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       1   93.07    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       2   93.00    6.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       3   92.08    1.98    5.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       4   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       5   91.09    2.97    5.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       6   83.17    9.90    6.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:01       7   97.03    1.98    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:54:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:54:02     all   92.87    4.88    2.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       0   94.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       1   97.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       2   86.00   12.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       3   82.65   14.29    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       4   95.05    2.97    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       5   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       6   96.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:02       7   95.00    2.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:54:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:54:03     all   91.99    6.26    1.25    0.00    0.00    0.00    0.00    0.00    0.00    0.50
22:54:03       0   72.73   23.23    3.03    0.00    0.00    0.00    0.00    0.00    0.00    1.01
22:54:03       1   94.95    3.03    1.01    0.00    0.00    0.00    0.00    0.00    0.00    1.01
22:54:03       2   88.00    9.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:03       3   95.05    3.96    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:03       4   94.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:03       5   93.00    6.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:03       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:03       7   98.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:54:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:54:04     all   93.39    3.49    2.62    0.00    0.00    0.00    0.00    0.00    0.00    0.50
22:54:04       0   92.16    1.96    4.90    0.00    0.00    0.00    0.00    0.00    0.00    0.98
22:54:04       1   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:04       2   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:04       3   95.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
22:54:04       4   90.00    9.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:04       5   92.08    5.94    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:04       6   95.00    3.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:04       7   92.93    6.06    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00

22:54:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:54:05     all   95.11    2.51    2.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:05       0   93.88    1.02    5.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:05       1   94.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:05       2   95.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:05       3   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:05       4   87.88   10.10    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
22:54:05       5   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
